DATE,REALLN
1947-01-01,6.796
1947-02-01,6.9551
1947-03-01,7.1249
1947-04-01,7.2966
1947-05-01,7.4699
1947-06-01,7.6361
1947-07-01,7.8092
1947-08-01,7.9809
1947-09-01,8.1487
1947-10-01,8.3174
1947-11-01,8.4845
1947-12-01,8.6428
1948-01-01,8.8194
1948-02-01,8.9518
1948-03-01,9.0946
1948-04-01,9.2382
1948-05-01,9.3782
1948-06-01,9.5132
1948-07-01,9.6263
1948-08-01,9.7141
1948-09-01,9.8022
1948-10-01,9.8895
1948-11-01,9.9750
1948-12-01,10.0546
1949-01-01,10.1415
1949-02-01,10.1855
1949-03-01,10.2368
1949-04-01,10.2838
1949-05-01,10.3285
1949-06-01,10.3673
1949-07-01,10.4284
1949-08-01,10.4933
1949-09-01,10.5573
1949-10-01,10.6213
1949-11-01,10.6841
1949-12-01,10.7452
1950-01-01,10.8820
1950-02-01,11.0301
1950-03-01,11.1819
1950-04-01,11.3294
1950-05-01,11.4721
1950-06-01,11.6076
1950-07-01,11.7702
1950-08-01,11.9461
1950-09-01,12.1145
1950-10-01,12.2836
1950-11-01,12.4544
1950-12-01,12.6219
1951-01-01,12.7791
1951-02-01,12.8930
1951-03-01,13.0078
1951-04-01,13.1077
1951-05-01,13.2035
1951-06-01,13.2826
1951-07-01,13.3717
1951-08-01,13.4661
1951-09-01,13.5464
1951-10-01,13.6351
1951-11-01,13.7262
1951-12-01,13.7744
1952-01-01,13.6522
1952-02-01,13.6920
1952-03-01,13.7838
1952-04-01,13.8904
1952-05-01,13.9909
1952-06-01,14.1335
1952-07-01,14.1862
1952-08-01,14.2762
1952-09-01,14.3747
1952-10-01,14.4525
1952-11-01,14.5314
1952-12-01,14.6152
1953-01-01,14.7509
1953-02-01,14.8910
1953-03-01,14.9713
1953-04-01,15.0410
1953-05-01,15.1400
1953-06-01,15.2691
1953-07-01,15.3169
1953-08-01,15.3560
1953-09-01,15.4112
1953-10-01,15.4940
1953-11-01,15.5775
1953-12-01,15.6815
1954-01-01,15.7036
1954-02-01,15.7079
1954-03-01,15.8053
1954-04-01,15.9122
1954-05-01,16.0059
1954-06-01,16.1206
1954-07-01,16.2817
1954-08-01,16.4543
1954-09-01,16.5989
1954-10-01,16.7815
1954-11-01,16.9649
1954-12-01,17.1987
1955-01-01,17.4247
1955-02-01,17.6462
1955-03-01,17.8715
1955-04-01,18.0734
1955-05-01,18.2861
1955-06-01,18.5473
1955-07-01,18.7283
1955-08-01,18.9229
1955-09-01,19.1557
1955-10-01,19.3747
1955-11-01,19.4168
1955-12-01,19.4592
1956-01-01,19.6029
1956-02-01,19.7735
1956-03-01,19.9583
1956-04-01,20.1586
1956-05-01,20.3402
1956-06-01,20.5628
1956-07-01,20.6387
1956-08-01,20.7118
1956-09-01,20.8400
1956-10-01,20.9734
1956-11-01,21.0604
1956-12-01,21.1985
1957-01-01,21.2111
1957-02-01,21.2389
1957-03-01,21.2624
1957-04-01,21.2736
1957-05-01,21.2595
1957-06-01,21.2304
1957-07-01,21.3146
1957-08-01,21.4130
1957-09-01,21.4475
1957-10-01,21.4859
1957-11-01,21.5226
1957-12-01,21.5397
